numDependents,numDependencies,numVersions,weeklyDownloads,unpackedSize,totalFiles,issues,pullRequests,lastPublished,scores
2705,2,27,39677240,8.76,9,-1,-1,1,0
1573,1,15,33889270,6.23,4,-1,-1,-1,0
3626,1,7,50589945,-1,-1,-1,-1,-1,0
3626,1,7,50589945,-1,-1,-1,-1,-1,0
2558,-1,4,49264977,-1,-1,-1,-1,-1,0
844,3,63,27574153,32,8,-1,-1,1,0
265,-1,24,8018127,41,10,-1,-1,1,0
49,-1,6,7810188,5.07,5,-1,-1,-1,0
241,3,62,8253847,50.8,4,-1,-1,1,0
48,-1,17,7096676,20.2,5,-1,-1,1,0
49,-1,6,7810188,5.07,5,-1,-1,-1,0
35,-1,2,7784929,3.03,7,-1,-1,-1,0
7,-1,6,5775799,17.3,7,-1,-1,2,0
115,2,25,7122620,133,7,-1,-1,-1,0
9050,2,96,67278717,91.3,6,-1,-1,-1,0
3204,-1,23,41583154,9.62,6,-1,-1,-1,0
1564,-1,17,44347579,6.8,5,-1,-1,-1,0
3224,-1,29,29066848,-1,-1,-1,-1,-1,0
38910,7,250,93404928,292,62,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
6493,3,24,152704440,7.77,5,-1,-1,1,0
9309,1,20,185341456,4.32,5,-1,-1,-1,0
3209,-1,18,172035597,5.41,5,-1,-1,1,0
6120,3,20,138053935,11.5,5,-1,-1,-1,0
3677,-1,27,350989623,17.5,5,-1,-1,-1,0
3638,1,35,211941755,27.2,7,-1,-1,-1,0
3242,-1,10,210581242,6.24,4,-1,-1,-1,0
6493,3,24,152704440,7.77,5,-1,-1,1,0
9309,1,20,185341456,4.32,5,-1,-1,-1,0
2037,-1,10,50561091,12.4,11,-1,-1,1,0
1820,-1,10,44765630,4.72,6,-1,-1,-1,0
2231,-1,12,42225814,-1,-1,-1,-1,-1,0
6493,3,24,152704440,7.77,5,-1,-1,1,0
3053,-1,35,122024652,32,6,-1,-1,1,0
2651,1,5,102515507,3.46,5,-1,-1,-1,0
9309,1,20,185341456,4.32,5,-1,-1,-1,0
1844,-1,22,63575564,23.4,9,-1,-1,-1,0
3714,-1,83,95867597,128,11,-1,-1,-1,0
32,3,71,3998427,11264,518,-1,-1,2,0
139,-1,1257,8146127,3276.8,11,-1,-1,2,0
2642,-1,12,7202553,26.4,10,-1,-1,-1,0
147,-1,33,9425126,49.9,9,-1,-1,1,0
16954,-1,363,13179434,667,50,-1,-1,2,0
3712,4,56,58617200,124,59,-1,-1,-1,0
947,-1,10,18236037,9.81,5,-1,-1,-1,0
1912,2,7,44351827,4.87,5,-1,-1,-1,0
1676,1,6,38055274,4.94,5,-1,-1,-1,0
2156,-1,10,45674948,7.13,5,-1,-1,1,0
2979,-1,6,84933292,5.82,5,-1,-1,-1,0
20262,1,72,90828738,405,33,-1,-1,-1,0
3689,-1,30,89140921,172,7,-1,-1,-1,0
1816,3,20,58378531,9.52,5,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
119195,-1,38,296851737,43.7,12,-1,-1,-1,0
3677,-1,27,350989623,17.5,5,-1,-1,-1,0
3638,1,35,211941755,27.2,7,-1,-1,-1,0
3242,-1,10,210581242,6.24,4,-1,-1,-1,0
5257,-1,10,134380677,3.66,5,-1,-1,-1,0
4209,-1,50,305857778,10.8,7,-1,-1,-1,0
3175,-1,6,229358541,4.29,5,-1,-1,-1,0
5704,-1,23,49321820,16.1,5,-1,-1,1,0
4090,-1,9,66145909,6.37,7,6,4,2,0
4090,-1,9,66145909,6.37,7,6,4,2,0
1582,1,16,35760244,9.04,4,1,1,-1,0
1563,-1,7,53234651,54.7,5,-1,-1,-1,0
1371,-1,10,43016640,9.96,4,-1,-1,1,0
1554,-1,25,40206232,7.69,6,-1,-1,-1,0
57077,-1,3240,61437360,22937.6,121,-1,-1,-1,0
139,-1,1257,8146127,3276.8,11,-1,-1,2,0
974,6,244,7066074,8171.52,1519,-1,-1,2,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0
32,3,71,3998427,11264,518,-1,-1,2,0
55093,1,74,281227266,42.1,7,-1,-1,1,0
9278,-1,24,230672683,6.72,4,-1,-1,-1,0
139,-1,1257,8146127,3276.8,11,-1,-1,2,0
31,-1,33,921965,19.4,6,-1,-1,1,0
19309,-1,169,79329378,147,19,-1,-1,1,0
1339,1,24,1738158,414,11,-1,-1,-1,0
1226,1,33,1735615,718,15,-1,-1,2,0
31,-1,33,921965,19.4,6,-1,-1,1,0
